section_size,eccentricity,length,DCR,median,log_standard_deviation
W30X132,0.0,1,0.5,-,-
W30X132,0.0,1,0.25,-,-
W30X132,0.0,1,0.15,-,-
W30X132,0.0,1,0.05,-,-
W24X176,0.0,1,0.95,600.4607209949355,0.5927948179192029
W24X176,0.0,1,0.85,1970.663269266794,0.3653024753000019
W24X176,0.0,1,0.75,2814.542900711612,0.31026397958742424
W24X176,0.0,1,0.5,-,-
W24X176,0.0,1,0.25,-,-
W24X176,0.0,1,0.15,-,-
W24X176,0.0,1,0.05,-,-
W27X146,0.0,1,0.95,350.3595674523703,0.8134191632771091
W27X146,0.0,1,0.85,1513.8264688704803,0.338947928401083
W27X146,0.0,1,0.75,2348.688138513615,0.34529993012408655
W27X146,0.0,1,0.5,-,-
W27X146,0.0,1,0.25,-,-
W27X146,0.0,1,0.15,-,-
W27X146,0.0,1,0.05,-,-
W18X258,0.0,1,0.95,1217.9314154005604,0.42363840225312055
W18X258,0.0,1,0.85,2696.3139738002587,0.2567322983094026
W18X258,0.0,1,0.75,-,-
W18X258,0.0,1,0.5,-,-
W18X258,0.0,1,0.25,-,-
W18X258,0.0,1,0.15,-,-
W18X258,0.0,1,0.05,-,-
W14X370,0.0,1,0.95,1439.9774089761354,0.40413168215123124
W14X370,0.0,1,0.85,2795.9556337983786,0.20316136971083346
W14X370,0.0,1,0.75,-,-
W14X370,0.0,1,0.5,-,-
W14X370,0.0,1,0.25,-,-
W14X370,0.0,1,0.15,-,-
W14X370,0.0,1,0.05,-,-
W30X124,0.0,1,0.95,343.10349436156804,0.8088486086237094
W30X124,0.0,1,0.85,1464.2956966402778,0.34566220820027893
W30X124,0.0,1,0.75,2280.539486520652,0.34072745604039706
W30X124,0.0,1,0.5,2122.6881471866104,0.0257621397232197
W30X124,0.0,1,0.25,-,-
W30X124,0.0,1,0.15,-,-
W30X124,0.0,1,0.05,-,-
W21X201,0.0,1,0.95,791.5676154395732,0.5330551620090511
W21X201,0.0,1,0.85,2316.418250705089,0.3463587322247191
W21X201,0.0,1,0.75,2447.0739653341398,0.1364429150143858
W21X201,0.0,1,0.5,-,-
W21X201,0.0,1,0.25,-,-
W21X201,0.0,1,0.15,-,-
W21X201,0.0,1,0.05,-,-
W24X162,0.0,1,0.95,531.0796296006624,0.626967088829057
W24X162,0.0,1,0.85,1811.907904962633,0.3513635777503155
